original_meal,cleaned_meal,cluster_id
كاس حليب,كاس حليب,25
مادلين,مادلين,20
كرواسون,كرواسون,18
فيطاجي,فيطاجي,2
عدس,عدس,46
بيض,بيض,11
روز,روز,22
دجاج,دجاج,45
فاكهة موسمية,فاكهة موسمية,43
مرق بالخضر,مرق بالخضر,40
سلطة خضراء,سلطة خضراء,31
لحم دجاج,لحم دجاج,45
خبز,خبز,3
مرق جلبانة,مرق جلبانة,36
سلطة متنوعة,سلطة متنوعة,31
ياغورت,ياغورت,9
خبز,خبز,3
حليب بالقهوة,حليب بالقهوة,8
كرواصو,كرواصو,6
مرق بالزيتون,مرق بالزيتون,21
شوربة فريك,شوربة فريك,35
كــــــاشير,كــــــاشير,26
قشدة,قشدة,7
لسان الطير بالمرق,لسان الطير بالمرق,40
سلطة كرنب,سلطة كرنب,48
لحم طازج,لحم طازج,33
مرطبات بسكوي,مرطبات بسكوي,7
مربى,مربى,32
كأس حليب,كأس حليب,25
كاشير,كاشير,18
لوبيا,لوبيا,28
فاكهية موسمية,فاكهية موسمية,43
بطاطا كوشة,بطاطا كوشة,12
شوربة شعرية,شوربة شعرية,48
عصير الفواكه,عصير الفواكه,16
جلبانة,جلبانة,36
سلاطة متنوعة,سلاطة متنوعة,41
ياغورث,ياغورث,9
جبن,جبن,1
مرق بالحمص,مرق بالحمص,40
سمك تونا,سمك تونا,23
مــــــــادلين,مــــــــادلين,26
مرق فاصولياء بيضاء,مرق فاصولياء بيضاء,37
مــــــــــــاسيدوان,مــــــــــــاسيدوان,26
جبن,جبن,1
معكرونة بالمرق,معكرونة بالمرق,40
فاتحة الضهية أردوف,فاتحة الضهية أردوف,22
مرق بالعدس,مرق بالعدس,40
سلطة أرز,سلطة أرز,44
سباقيتي بالمرق,سباقيتي بالمرق,13
كـــــــــاشير,كـــــــــاشير,26
مرطبات ميلفاي,مرطبات ميلفاي,20
خبز بالشيكولا,خبز بالشيكولا,34
مرق جلبانة,مرق جلبانة,36
كسكس,كسكس,24
مشروب غازي,مشروب غازي,47
مـــــــــــادلين,مـــــــــــادلين,26
أرز مغموم,أرز مغموم,44
عصير الفواكه,عصير الفواكه,16
مرق فاصولياء,مرق فاصولياء,37
سلطة جزائرية,سلطة جزائرية,31
بـــــــــاتي,بـــــــــاتي,26
كـــــــــــاشير,كـــــــــــاشير,26
أرز مفور,أرز مفور,44
كـــاشير,كـــاشير,26
عصير,عصير,16
مـــــــــادلين,مـــــــــادلين,26
مـــــــاسيدوان,مـــــــاسيدوان,26
فاتحة الشهية أردوف,فاتحة الشهية أردوف,6
مربى المشمش,مربى المشمش,32
كــــــــاشير,كــــــــاشير,26
مــــــادلين,مــــــادلين,26
بــــــــــاتي,بــــــــــاتي,26
كرواصــــو,كرواصــــو,26
لسان الطير,لسان الطير,22
ملربى المشمش,ملربى المشمش,6
مـــــــادلين,مـــــــادلين,26
سلطة مـــــاسيدوان,سلطة مـــــاسيدوان,31
مرق بالمعكرونة,مرق بالمعكرونة,40
سلطة أردوف,سلطة أردوف,31
سلطة ارز,سلطة ارز,44
مرق سباقيتي,مرق سباقيتي,13
كـــــــاشير,كـــــــاشير,26
ارز مغموم,ارز مغموم,44
مرق فاصوليا بيضاء,مرق فاصوليا بيضاء,37
سلطة جزائرية,سلطة جزائرية,31
باتي,باتي,22
مــــاسيدوان,مــــاسيدوان,26
كـــــاشير,كـــــاشير,26
ياغورت معطر,ياغورت معطر,14
سلاطة خضراء,سلاطة خضراء,41
لحم طازج,لحم طازج,33
حلويات ميلفاي,حلويات ميلفاي,7
مـــــادلين,مـــــادلين,26
حريرة,حريرة,22
فريت+ سلاطة تليتلي,فريت سلاطة تليتلي,29
سلاطة جزائرية,سلاطة جزائرية,31
بـــــاتي,بـــــاتي,26
مرق فاصولياء,مرق فاصولياء,37
سلاطة أردوف,سلاطة أردوف,41
سلاطة كرمب,سلاطة كرمب,46
بيض,بيض,11
