item,category_id,category_name
Galette,1,Bread & Bakery
Pain,1,Bread & Bakery
Pain amélioré,1,Bread & Bakery
croissant,1,Bread & Bakery
pain,1,Bread & Bakery
أو خبز,1,Bread & Bakery
الخبز,1,Bread & Bakery
الخبز المحسن,1,Bread & Bakery
الخبز محسن,1,Bread & Bakery
الهلاليات,1,Bread & Bakery
بان شوكو,1,Bread & Bakery
بانشوكو,1,Bread & Bakery
بريوش,1,Bread & Bakery
بريوش (Brioche),1,Bread & Bakery
بريوش بالشكولاطة,1,Bread & Bakery
بطاطاالمخبزة,1,Bread & Bakery
جبز,1,Bread & Bakery
خبز,1,Bread & Bakery
خبز بالشكولاطة,1,Bread & Bakery
خبز عادي,1,Bread & Bakery
خبز ماء,1,Bread & Bakery
خبز محسن,1,Bread & Bakery
خبز (وحدة),1,Bread & Bakery
خبز / ماء,1,Bread & Bakery
خبز /ماء,1,Bread & Bakery
خبز البريوش,1,Bread & Bakery
خبز البورغر,1,Bread & Bakery
خبز البورقر,1,Bread & Bakery
خبز البورقر معجون,1,Bread & Bakery
خبز البونجور,1,Bread & Bakery
خبز الشكولاطة,1,Bread & Bakery
خبز الشيكولاطة,1,Bread & Bakery
خبز الطاكوس,1,Bread & Bakery
خبز الهامبورغر,1,Bread & Bakery
خبز بالتوابل,1,Bread & Bakery
خبز بالشكلاطة,1,Bread & Bakery
خبز بالشكولا,1,Bread & Bakery
خبز بالشكولاتة,1,Bread & Bakery
خبز بالشكولاته,1,Bread & Bakery
خبز بالشكولاطة أو هلاليات,1,Bread & Bakery
خبز بالشكولاطة او هلاليات,1,Bread & Bakery
خبز بالشكولاطة او هلالية,1,Bread & Bakery
خبز بالشكولاطة(2قطع),1,Bread & Bakery
خبز بالشكولاطة/كرواسون,1,Bread & Bakery
خبز بالشكولاطة/مادلين,1,Bread & Bakery
خبز بالشكولاطة80 غ,1,Bread & Bakery
خبز بالشكولطة,1,Bread & Bakery
خبز بالشوكلاطة,1,Bread & Bakery
خبز بالشوكولا,1,Bread & Bakery
خبز بالشوكولاتة,1,Bread & Bakery
خبز بالشوكولاته,1,Bread & Bakery
خبز بالشوكولاطة,1,Bread & Bakery
خبز بالشيكولا,1,Bread & Bakery
خبز بالشيكولاطة,1,Bread & Bakery
خبز بالشيكولاطة أو هلالية,1,Bread & Bakery
خبز بالشيكولاطة/هلالية,1,Bread & Bakery
خبز بالشيكولة,1,Bread & Bakery
خبز بالمربة,1,Bread & Bakery
خبز بالمعجون,1,Bread & Bakery
خبز بريوش,1,Bread & Bakery
خبز بشكلاطة,1,Bread & Bakery
خبز بشكولاطة,1,Bread & Bakery
خبز بمعجون,1,Bread & Bakery
خبز بورغر,1,Bread & Bakery
خبز شكلاطة,1,Bread & Bakery
خبز شكولاطة,1,Bread & Bakery
خبز ص,1,Bread & Bakery
خبز ص بالشوكولاطة,1,Bread & Bakery
خبز ص بالشيكولاطة,1,Bread & Bakery
خبز صغير,1,Bread & Bakery
خبز صغير بالشكلاطة,1,Bread & Bakery
خبز صغير بالشكولاتة,1,Bread & Bakery
خبز صغير بالشكولاطة,1,Bread & Bakery
خبز صغير بالشوكولا,1,Bread & Bakery
خبز صغير بالشوكولاطة,1,Bread & Bakery
خبز صغير بالشيكولاطة,1,Bread & Bakery
خبز صغير بالشيكولة,1,Bread & Bakery
خبز صغير شكولاطة,1,Bread & Bakery
خبز صغير محسن,1,Bread & Bakery
خبز صغير محلى بالشكولاطة,1,Bread & Bakery
خبز عادي250 غ,1,Bread & Bakery
خبز عادي250غ,1,Bread & Bakery
خبز قطع,1,Bread & Bakery
خبز محسن بالشكولاطة,1,Bread & Bakery
خبز محسن صغير,1,Bread & Bakery
خبز محسن صغير بالشوكولاتة,1,Bread & Bakery
خبز محسن صغير بالشوكولاته,1,Bread & Bakery
خبز محسن صغير بالشيكولاتة,1,Bread & Bakery
خبز محسن250غ,1,Bread & Bakery
خبز محشي بالشكولاطة,1,Bread & Bakery
خبز محشي بالشوكولاته,1,Bread & Bakery
خبز محشي بالشوكولاطة,1,Bread & Bakery
خبز محلى,1,Bread & Bakery
خبز محلى بالشكلاطة,1,Bread & Bakery
خبز محلى بالشكولاطة,1,Bread & Bakery
خبز محلى بشكولاطة,1,Bread & Bakery
خبز مصغر,1,Bread & Bakery
خبز مصغر بالشكولاطة,1,Bread & Bakery
خبز و معجون,1,Bread & Bakery
خبز ومعجون,1,Bread & Bakery
خبز يالشكولاطة,1,Bread & Bakery
خبز 🍞,1,Bread & Bakery
خبز(خبز),1,Bread & Bakery
خبز. عادي,1,Bread & Bakery
خبز/ ماء,1,Bread & Bakery
خبز/ماء,1,Bread & Bakery
خبز01,1,Bread & Bakery
خبز250غ,1,Bread & Bakery
خبزبالشكولاطة,1,Bread & Bakery
خبزة,1,Bread & Bakery
خبزص,1,Bread & Bakery
خبزعادي,1,Bread & Bakery
خبزمحسن,1,Bread & Bakery
خبيرات بالشكولاطة,1,Bread & Bakery
خبيزات الشكولاطة,1,Bread & Bakery
خبيزات بالشكولاته,1,Bread & Bakery
خبيزات بالشكولاطة,1,Bread & Bakery
خبيزات لحم مرحي بالفرن,1,Bread & Bakery
خبيزات لحم مفروم بالتوابل,1,Bread & Bakery
سيقار,1,Bread & Bakery
علب معجون,1,Bread & Bakery
غخبز عادي,1,Bread & Bakery
قالات أو كروكي,1,Bread & Bakery
قالات/ كروكي,1,Bread & Bakery
قالات/كروكي,1,Bread & Bakery
قطعة خبز,1,Bread & Bakery
كرواسون,1,Bread & Bakery
كرواسون / خبز بالشكولاطة,1,Bread & Bakery
كرواسون / خبز بالشوكولاطة,1,Bread & Bakery
كرواسون /خبز بالشوكولاطة,1,Bread & Bakery
كرواسون أو خبز بالشكولاطة,1,Bread & Bakery
كرواسون(وحدة),1,Bread & Bakery
كرواسون/ خبز بالشكولاطة,1,Bread & Bakery
كرواسون/خبز بالشكلاطة,1,Bread & Bakery
كرواسون/خبز بالشكولاطة,1,Bread & Bakery
كرواسون/خبز بالشوكولاطة,1,Bread & Bakery
كرواسون/خبزبالشكولاطة,1,Bread & Bakery
كروكي,1,Bread & Bakery
كروكي/مادلين,1,Bread & Bakery
كروكيت,1,Bread & Bakery
مادلان,1,Bread & Bakery
مادلان/ماء,1,Bread & Bakery
مادلن,1,Bread & Bakery
مادلين,1,Bread & Bakery
مادلين أو كروكي,1,Bread & Bakery
مادلين(2قطع),1,Bread & Bakery
مادلين/ كروكي,1,Bread & Bakery
مادلين/كروكي,1,Bread & Bakery
مادلين/مرطبات,1,Bread & Bakery
مدلين,1,Bread & Bakery
مرطبات ( مادلين / كرواصو / خبز بالشيكولا),1,Bread & Bakery
مرطبات ( مادلين او كرواصو او خبز بالشيكولا),1,Bread & Bakery
مرطبات (مادلين / كرواصو / خبز بالشيكولا),1,Bread & Bakery
مرطبات أو هلاليات,1,Bread & Bakery
مرطبات او هلاليات,1,Bread & Bakery
معجون,1,Bread & Bakery
معجون سباقيتي,1,Bread & Bakery
معجون ص,1,Bread & Bakery
معجون صغير,1,Bread & Bakery
معجون كودى,1,Bread & Bakery
معجون كودى/ سباقيتي,1,Bread & Bakery
معجون مرغرين,1,Bread & Bakery
معجونص,1,Bread & Bakery
هلاليات,1,Bread & Bakery
هلاليات / خبز الشكولاطة,1,Bread & Bakery
هلاليات / خبز الشيكولاطة,1,Bread & Bakery
هلاليات / خبز شكولاطة,1,Bread & Bakery
هلاليات /خبز الشكولاطة,1,Bread & Bakery
هلاليات /خبز بالشكولاطة,1,Bread & Bakery
هلاليات /خبز شكولاطة,1,Bread & Bakery
هلاليات أو خبز بالشكولاطة,1,Bread & Bakery
هلاليات أو خبز بالشوكولاطة,1,Bread & Bakery
هلاليات او بريوش بالشكولاطة,1,Bread & Bakery
هلاليات او خبز بالشكلاطة,1,Bread & Bakery
هلاليات او خبز بالشكولاطة,1,Bread & Bakery
هلاليات او مرطبات,1,Bread & Bakery
هلاليات بالشكلاطة,1,Bread & Bakery
هلاليات بالشكولاطة,1,Bread & Bakery
هلاليات/ خبز الشكولاطة,1,Bread & Bakery
هلاليات/ خبز الشيكولاطة,1,Bread & Bakery
هلاليات/ خبز بالشكولاطة,1,Bread & Bakery
هلاليات/خبز الشكولاطة,1,Bread & Bakery
هلاليات/خبز الشيكولاطة,1,Bread & Bakery
هلاليات/خبز بالشكولاتة,1,Bread & Bakery
هلاليات/خبز بالشكولاطة,1,Bread & Bakery
هلالية,1,Bread & Bakery
هلالية أو خبز بالشكولاطة,1,Bread & Bakery
هلالية او خبز بالشكولاطة,1,Bread & Bakery
هلالية او خبزبالشكولاطة,1,Bread & Bakery
هلالية اوخبز بالشكولاطة,1,Bread & Bakery
هيلاليات خبز البورغر,1,Bread & Bakery
Couscous,2,Rice & Pasta
Spaghetti,2,Rice & Pasta
آرز,2,Rice & Pasta
أرز,2,Rice & Pasta
أرز (بطاطا),2,Rice & Pasta
أرز / تليتلي,2,Rice & Pasta
أرز أو زيتون,2,Rice & Pasta
أرز أو سباغيتي,2,Rice & Pasta
أرز أو عجائن,2,Rice & Pasta
أرز الفرن,2,Rice & Pasta
أرز بالخضار,2,Rice & Pasta
أرز بالخضر,2,Rice & Pasta
أرز بالخضروات,2,Rice & Pasta
أرز بالزيتون,2,Rice & Pasta
أرز بالصلصة,2,Rice & Pasta
أرز بالفرن,2,Rice & Pasta
أرز بالمرق,2,Rice & Pasta
أرز بسمتي مفور بالمرق,2,Rice & Pasta
أرز بيلاف,2,Rice & Pasta
أرز جربي,2,Rice & Pasta
أرز طبق مرافق,2,Rice & Pasta
أرز طعام,2,Rice & Pasta
أرز فرن,2,Rice & Pasta
أرز فرن أو زيتون,2,Rice & Pasta
أرز في الفرن,2,Rice & Pasta
أرز مرق,2,Rice & Pasta
أرز مرقة,2,Rice & Pasta
أرز مشكل,2,Rice & Pasta
أرز مشكل بالزيتون,2,Rice & Pasta
أرز مغموم,2,Rice & Pasta
أرز مفور,2,Rice & Pasta
أرز مفور بالمرق,2,Rice & Pasta
أرز ممرق,2,Rice & Pasta
أرز و بطاطا,2,Rice & Pasta
أرز 🍚,2,Rice & Pasta
أرز( بالمكونات),2,Rice & Pasta
أرز/ تليتلي,2,Rice & Pasta
أرز/ سباقيتي ( بالمكونات),2,Rice & Pasta
أرز/سباغيتي,2,Rice & Pasta
أرز/ماقارون/سباقيتي,2,Rice & Pasta
أرز/ماقرون/سباقيتي,2,Rice & Pasta
أرز/مقارون/سباقيتي,2,Rice & Pasta
ارز,2,Rice & Pasta
ارز / سباغيتي,2,Rice & Pasta
ارز أو عجائن مختلفة,2,Rice & Pasta
ارز الفرن,2,Rice & Pasta
ارز بالخضار,2,Rice & Pasta
ارز بالخضر,2,Rice & Pasta
ارز بالخضر او تليتلي,2,Rice & Pasta
ارز بالخضروات,2,Rice & Pasta
ارز بالزيتون,2,Rice & Pasta
ارز بالزيتون الاخضر,2,Rice & Pasta
ارز بالزيتون والجزر,2,Rice & Pasta
ارز بالصلصة,2,Rice & Pasta
ارز بالصلصة او سباقيتي,2,Rice & Pasta
ارز بالصلصلة,2,Rice & Pasta
ارز بالفرن,2,Rice & Pasta
ارز بالمرق,2,Rice & Pasta
ارز بسمتي,2,Rice & Pasta
ارز بسمتي مفور بالمرق,2,Rice & Pasta
ارز بيلاف,2,Rice & Pasta
ارز جربي,2,Rice & Pasta
ارز طعام,2,Rice & Pasta
ارز فرن,2,Rice & Pasta
ارز في الفرن,2,Rice & Pasta
ارز متنوع,2,Rice & Pasta
ارز مرق,2,Rice & Pasta
ارز مرقة,2,Rice & Pasta
ارز مشكل,2,Rice & Pasta
ارز مغموم,2,Rice & Pasta
ارز مفور,2,Rice & Pasta
ارز مفور بالمرق,2,Rice & Pasta
ارز/ تليتلي,2,Rice & Pasta
الأرز,2,Rice & Pasta
الأروز,2,Rice & Pasta
الارز,2,Rice & Pasta
